film,genre
3d036187-2c03-4831-ac66-6bfdbf91ba1e,28
3d036187-2c03-4831-ac66-6bfdbf91ba1e,53
3d036187-2c03-4831-ac66-6bfdbf91ba1e,878
4636157e-7ed8-4472-bd59-cb5442604773,35
4636157e-7ed8-4472-bd59-cb5442604773,10749
a9f73754-847d-43b7-9529-bfe7fecd487f,27
a9f73754-847d-43b7-9529-bfe7fecd487f,9648
a9f73754-847d-43b7-9529-bfe7fecd487f,878
48535f31-8882-4263-af41-c9c0f87c8a1c,10749
48535f31-8882-4263-af41-c9c0f87c8a1c,35
1a2693ad-3f29-408b-8b7c-b490f2287f7e,27
890aa7dd-1bdb-468e-a6f3-c4ca7cf02c3a,18
890aa7dd-1bdb-468e-a6f3-c4ca7cf02c3a,10749
f97f9b4e-9d81-40ab-a15d-a229e05ed046,35
f97f9b4e-9d81-40ab-a15d-a229e05ed046,10752
428bc8c4-3f25-4a21-862e-f5d4abd1cf2c,878
428bc8c4-3f25-4a21-862e-f5d4abd1cf2c,18
428bc8c4-3f25-4a21-862e-f5d4abd1cf2c,53
1a316e25-c81d-4a98-92ec-7147c6c72ff1,35
49006841-5ff8-4149-8c0a-1b87a158392f,53
49006841-5ff8-4149-8c0a-1b87a158392f,27
94666aeb-13c6-47d8-a8c9-6051636b6102,28
94666aeb-13c6-47d8-a8c9-6051636b6102,12
94666aeb-13c6-47d8-a8c9-6051636b6102,53
94666aeb-13c6-47d8-a8c9-6051636b6102,10752
8f3d2c9a-7e51-4966-b561-80c59d8bcc31,878
8f3d2c9a-7e51-4966-b561-80c59d8bcc31,28
df58b6ff-2faa-4a5e-a125-10fdae3fa7a7,18
df58b6ff-2faa-4a5e-a125-10fdae3fa7a7,28
df58b6ff-2faa-4a5e-a125-10fdae3fa7a7,53
9ab02769-fa4b-41e4-ba7f-17eb8825dfa0,12
9ab02769-fa4b-41e4-ba7f-17eb8825dfa0,28
9ab02769-fa4b-41e4-ba7f-17eb8825dfa0,53
9ab02769-fa4b-41e4-ba7f-17eb8825dfa0,878
dacfc97e-7ad7-4fe1-ba9a-f1f2e956fa4c,18
dacfc97e-7ad7-4fe1-ba9a-f1f2e956fa4c,10749
ecfc4dc1-57a8-4ef7-978f-0ee5f38843cb,35
fb74c2f9-8ef1-433e-a067-746b5e0bfd59,878
fb74c2f9-8ef1-433e-a067-746b5e0bfd59,12
fb74c2f9-8ef1-433e-a067-746b5e0bfd59,10751
fb74c2f9-8ef1-433e-a067-746b5e0bfd59,14
08d8ac52-4e53-4810-abe5-d9fd59025be8,35
c818af7e-20e9-4172-b022-cb605f235a3f,53
c818af7e-20e9-4172-b022-cb605f235a3f,878
c818af7e-20e9-4172-b022-cb605f235a3f,18
59b41a22-7f4f-45f2-bb9e-5397fb3a6408,12
59b41a22-7f4f-45f2-bb9e-5397fb3a6408,14
59b41a22-7f4f-45f2-bb9e-5397fb3a6408,28
c8569fc1-cf9f-4f55-9c6c-d100595847f6,28
c8569fc1-cf9f-4f55-9c6c-d100595847f6,53
c8569fc1-cf9f-4f55-9c6c-d100595847f6,878
67db43b0-0dc8-4159-8848-98ee0c98f16e,53
67db43b0-0dc8-4159-8848-98ee0c98f16e,28
67db43b0-0dc8-4159-8848-98ee0c98f16e,35
67db43b0-0dc8-4159-8848-98ee0c98f16e,80
67db43b0-0dc8-4159-8848-98ee0c98f16e,18
14e6d221-0a9e-4a3b-a311-ccb05d663b9a,28
14e6d221-0a9e-4a3b-a311-ccb05d663b9a,35
14e6d221-0a9e-4a3b-a311-ccb05d663b9a,80
8cf850f7-427a-4b4e-83f8-57690c774a37,12
8cf850f7-427a-4b4e-83f8-57690c774a37,28
8cf850f7-427a-4b4e-83f8-57690c774a37,10749
8cf850f7-427a-4b4e-83f8-57690c774a37,35
a4edd221-02cc-4d8d-b599-c561004cb38d,35
771f7f14-bdbf-4c61-8758-5bd200dbeada,35
e155fb8f-15f9-4285-a742-7cc2a54aabcf,14
e155fb8f-15f9-4285-a742-7cc2a54aabcf,27
e155fb8f-15f9-4285-a742-7cc2a54aabcf,35
278988e2-b6e2-4bec-9f37-3f4fadda6454,28
278988e2-b6e2-4bec-9f37-3f4fadda6454,12
278988e2-b6e2-4bec-9f37-3f4fadda6454,53
278988e2-b6e2-4bec-9f37-3f4fadda6454,10752
7ca570a2-2cd8-4f27-a324-d732e9ba3294,27
7ca570a2-2cd8-4f27-a324-d732e9ba3294,53
7ca570a2-2cd8-4f27-a324-d732e9ba3294,12
1e94a4eb-3268-4e30-81a2-56cac00d56ea,12
1e94a4eb-3268-4e30-81a2-56cac00d56ea,14
1e94a4eb-3268-4e30-81a2-56cac00d56ea,28
ec6a42ec-6c44-495f-beca-ecc4c3dc093e,18
2f9676ba-0fba-42cc-b4e9-1a0a48b21260,35
2f9676ba-0fba-42cc-b4e9-1a0a48b21260,80
3d4f7a0a-7288-451e-8e3c-f35028d7581f,12
3d4f7a0a-7288-451e-8e3c-f35028d7581f,35
3d4f7a0a-7288-451e-8e3c-f35028d7581f,10751
e996c8e0-f531-4453-afeb-7496ca7a3179,35
13ee2642-1e88-4b5b-9e0e-1ca8940c8a2e,35
1df31ff4-6bf4-4cdd-b8ed-2f8067a8d5db,37
1df31ff4-6bf4-4cdd-b8ed-2f8067a8d5db,28
770074ee-584e-41cb-8e15-fbd11247a4f1,35
770074ee-584e-41cb-8e15-fbd11247a4f1,14
1a824fa6-2716-4362-b09a-308fac8ff3fa,28
1a824fa6-2716-4362-b09a-308fac8ff3fa,80
1a824fa6-2716-4362-b09a-308fac8ff3fa,53
034b76fb-c0f0-43d1-bcd9-66b412bc5091,18
034b76fb-c0f0-43d1-bcd9-66b412bc5091,878
33105a50-035c-4b5c-9104-d9e7a86fe421,35
33105a50-035c-4b5c-9104-d9e7a86fe421,37
b3b77d09-7b54-4c92-9b52-f71b57202f37,18
b3b77d09-7b54-4c92-9b52-f71b57202f37,53
4509426e-05d5-487e-8eb1-4b5edfe7492a,27
3c263c09-6fdb-4070-9a0a-8ee7357a2bc6,12
3c263c09-6fdb-4070-9a0a-8ee7357a2bc6,28
3c263c09-6fdb-4070-9a0a-8ee7357a2bc6,35
3c263c09-6fdb-4070-9a0a-8ee7357a2bc6,10749
27d9fcf0-8a76-4bf4-877e-8e2e2a8b27ce,12
b1ef0ebc-8702-4fa0-8976-13d3e3bf26b9,12
b1ef0ebc-8702-4fa0-8976-13d3e3bf26b9,28
3b84cea3-1fc0-46e2-9288-c5bfa0ebf6d9,28
3b84cea3-1fc0-46e2-9288-c5bfa0ebf6d9,12
3b84cea3-1fc0-46e2-9288-c5bfa0ebf6d9,53
ac7b9722-cae7-460d-a2d9-bf2594c2f035,28
ac7b9722-cae7-460d-a2d9-bf2594c2f035,53
a4332d5e-a26f-46dc-9a57-c8ef53f5c3b0,28
a4332d5e-a26f-46dc-9a57-c8ef53f5c3b0,18
a4332d5e-a26f-46dc-9a57-c8ef53f5c3b0,53
98d9d80d-1d62-4733-8376-8a45c2becbfb,18
98d9d80d-1d62-4733-8376-8a45c2becbfb,53
98d9d80d-1d62-4733-8376-8a45c2becbfb,80
98d9d80d-1d62-4733-8376-8a45c2becbfb,12
27194226-f829-45e5-87cc-e75c20d1e17d,28
27194226-f829-45e5-87cc-e75c20d1e17d,12
27194226-f829-45e5-87cc-e75c20d1e17d,35
e29b1921-ee51-4b5d-8b1e-a231760e67fa,28
e29b1921-ee51-4b5d-8b1e-a231760e67fa,35
e29b1921-ee51-4b5d-8b1e-a231760e67fa,37
3e0b4a6e-ac31-4eea-80c8-23bd7392884c,35
3e0b4a6e-ac31-4eea-80c8-23bd7392884c,80
0159b5a8-6005-48df-8193-4a33c3f3f07a,28
0159b5a8-6005-48df-8193-4a33c3f3f07a,12
0159b5a8-6005-48df-8193-4a33c3f3f07a,14
1ffb3a43-6fe7-4bb2-82c6-622a79004264,12
1ffb3a43-6fe7-4bb2-82c6-622a79004264,28
1ffb3a43-6fe7-4bb2-82c6-622a79004264,53
1ffb3a43-6fe7-4bb2-82c6-622a79004264,878
babad69c-d9e9-4668-93da-f12899a80b45,18
babad69c-d9e9-4668-93da-f12899a80b45,10402
babad69c-d9e9-4668-93da-f12899a80b45,10749
f24aa41e-effb-4ab0-8068-3fd89eaa907e,53
f24aa41e-effb-4ab0-8068-3fd89eaa907e,27
f24aa41e-effb-4ab0-8068-3fd89eaa907e,28
2bd8cc93-eb2b-4afa-ae0b-786e7ae60211,12
2bd8cc93-eb2b-4afa-ae0b-786e7ae60211,28
2bd8cc93-eb2b-4afa-ae0b-786e7ae60211,14
d8e8472a-a08d-4c0a-a68f-9c058a83dc27,28
d8e8472a-a08d-4c0a-a68f-9c058a83dc27,80
4dafc2bb-39bd-4cc7-ad8a-76e74f377aeb,18
4dafc2bb-39bd-4cc7-ad8a-76e74f377aeb,10749
2efc6f4f-82cb-4a25-9143-7d6507f14438,27
2efc6f4f-82cb-4a25-9143-7d6507f14438,878
27737bdf-de50-4367-a306-6fdef9af881e,12
27737bdf-de50-4367-a306-6fdef9af881e,10751
27737bdf-de50-4367-a306-6fdef9af881e,14
9da54652-3655-4cc3-87ce-8e3e4a5d36f5,12
9da54652-3655-4cc3-87ce-8e3e4a5d36f5,14
9da54652-3655-4cc3-87ce-8e3e4a5d36f5,28
2498a617-cc8d-4ef0-81a4-c992339c957f,27
2498a617-cc8d-4ef0-81a4-c992339c957f,35
8a121e62-10bc-4dfd-a741-7dd440c467de,28
8a121e62-10bc-4dfd-a741-7dd440c467de,12
8a121e62-10bc-4dfd-a741-7dd440c467de,35
6da1aacb-3ad5-451a-8314-423bcd8b9209,27
26dfc3f2-ebe2-4410-b84a-8046864f62af,18
26dfc3f2-ebe2-4410-b84a-8046864f62af,10752
414ad9e5-b970-4595-8f6c-44ade63b38fc,28
414ad9e5-b970-4595-8f6c-44ade63b38fc,12
414ad9e5-b970-4595-8f6c-44ade63b38fc,878
b43b7e4f-3e71-45a0-b55e-2b5b82ccae70,35
b43b7e4f-3e71-45a0-b55e-2b5b82ccae70,27
629a01e7-1e63-407a-b2cd-04ad16438f47,27
629a01e7-1e63-407a-b2cd-04ad16438f47,878
695fb599-9b9f-481e-9f62-ce52dddf918c,12
695fb599-9b9f-481e-9f62-ce52dddf918c,28
695fb599-9b9f-481e-9f62-ce52dddf918c,35
412db3da-061b-4b62-9015-00649a08eb45,28
412db3da-061b-4b62-9015-00649a08eb45,12
412db3da-061b-4b62-9015-00649a08eb45,53
412db3da-061b-4b62-9015-00649a08eb45,10752
0ae82a80-bedc-4bc2-b6d7-d7eaab3d8bac,18
0ae7f4b9-cd5d-4740-ab4b-24d5faeac626,53
0ae7f4b9-cd5d-4740-ab4b-24d5faeac626,9648
af80d4cc-e34a-48d0-85ed-a1227216eb88,35
af80d4cc-e34a-48d0-85ed-a1227216eb88,37
22038333-cf97-4ff0-bb8c-1c418370f2a8,27
22038333-cf97-4ff0-bb8c-1c418370f2a8,53
24c952a2-3133-4767-86f5-e0082341b124,35
ace1de16-80cc-4094-b70a-94401c7d049e,12
ace1de16-80cc-4094-b70a-94401c7d049e,28
6d02e5b2-c17b-4d89-9f7c-c626136f0a57,12
6d02e5b2-c17b-4d89-9f7c-c626136f0a57,35
b9eaf0c7-062e-4a1c-8431-f51b31088290,28
b9eaf0c7-062e-4a1c-8431-f51b31088290,35
80c07340-a069-476a-a0a0-2460dc69b3cc,28
80c07340-a069-476a-a0a0-2460dc69b3cc,12
80c07340-a069-476a-a0a0-2460dc69b3cc,35
80c07340-a069-476a-a0a0-2460dc69b3cc,14
e8f50c9e-8e3c-4b73-9e92-562bf984113a,27
e8f50c9e-8e3c-4b73-9e92-562bf984113a,35
7abca311-7572-49bb-8565-e3648fcb1989,35
7abca311-7572-49bb-8565-e3648fcb1989,80
e4e5143d-c8b6-44ae-8d83-0699c1fb9272,80
e4e5143d-c8b6-44ae-8d83-0699c1fb9272,18
e4e5143d-c8b6-44ae-8d83-0699c1fb9272,53
e4e5143d-c8b6-44ae-8d83-0699c1fb9272,28
84ed3f64-88ea-4e96-a670-0f3095ececf2,28
84ed3f64-88ea-4e96-a670-0f3095ececf2,12
84ed3f64-88ea-4e96-a670-0f3095ececf2,35
84ed3f64-88ea-4e96-a670-0f3095ececf2,53
6277443a-d0cc-4c54-bcde-3f43c896503d,10749
6277443a-d0cc-4c54-bcde-3f43c896503d,14
6277443a-d0cc-4c54-bcde-3f43c896503d,18
6277443a-d0cc-4c54-bcde-3f43c896503d,35
6076c30d-c5ab-4e95-971a-425f2f4aa075,80
6076c30d-c5ab-4e95-971a-425f2f4aa075,18
6076c30d-c5ab-4e95-971a-425f2f4aa075,53
bd4537b9-afdc-494d-ac70-76cab133fa4c,53
bd4537b9-afdc-494d-ac70-76cab133fa4c,28
bd4537b9-afdc-494d-ac70-76cab133fa4c,35
bd4537b9-afdc-494d-ac70-76cab133fa4c,80
bd4537b9-afdc-494d-ac70-76cab133fa4c,18
eb4c69f6-9fa5-4eb7-9a16-0259a9eac719,12
eb4c69f6-9fa5-4eb7-9a16-0259a9eac719,35
eb4c69f6-9fa5-4eb7-9a16-0259a9eac719,878
5b946f8f-76e1-46cd-b2f9-e5f85d10af02,28
ca94860d-56c2-4b68-ac00-6d48d0de8ee4,878
ca94860d-56c2-4b68-ac00-6d48d0de8ee4,28
ca94860d-56c2-4b68-ac00-6d48d0de8ee4,12
ca94860d-56c2-4b68-ac00-6d48d0de8ee4,53
9b4a8296-c6fe-40c6-b1c5-9807b2004976,28
9b4a8296-c6fe-40c6-b1c5-9807b2004976,18
dc18e978-7d17-4d05-ac8e-678a609fbcc7,18
6e76b203-3e19-4f72-9980-92752d48809a,10749
6e76b203-3e19-4f72-9980-92752d48809a,18
6e76b203-3e19-4f72-9980-92752d48809a,28
8a973d17-fccf-4240-8157-573db91eaa6c,18
cb500bc6-ef03-4205-86fe-33d0c6d2ec11,14
cb500bc6-ef03-4205-86fe-33d0c6d2ec11,35
cb500bc6-ef03-4205-86fe-33d0c6d2ec11,10751
0855b28a-f73d-4302-8d48-2a2353d08321,28
0855b28a-f73d-4302-8d48-2a2353d08321,35
0855b28a-f73d-4302-8d48-2a2353d08321,80
eaf58060-210e-465a-92e4-eed803451813,35
eaf58060-210e-465a-92e4-eed803451813,27
e90836cf-cc5f-477d-9ca1-a44f1bd95abf,28
e90836cf-cc5f-477d-9ca1-a44f1bd95abf,12
e90836cf-cc5f-477d-9ca1-a44f1bd95abf,53
e90836cf-cc5f-477d-9ca1-a44f1bd95abf,10752
520d36be-24be-4e74-857d-c27b2f9e1f83,28
520d36be-24be-4e74-857d-c27b2f9e1f83,53
520d36be-24be-4e74-857d-c27b2f9e1f83,878
a09cc505-1e03-49ec-9500-63478944a532,35
43cf3e92-abba-4b8a-aaeb-b9b124458ea3,35
43cf3e92-abba-4b8a-aaeb-b9b124458ea3,18
bb73a806-7713-47b3-8355-b4151511a743,35
bb73a806-7713-47b3-8355-b4151511a743,27
bb73a806-7713-47b3-8355-b4151511a743,878
4d53ce95-43bf-4cfa-9f09-4f1520a006ed,27
4d53ce95-43bf-4cfa-9f09-4f1520a006ed,53
fe63a509-ad1d-4960-b4a9-b704a6aa9ea0,18
fe63a509-ad1d-4960-b4a9-b704a6aa9ea0,10749
fe63a509-ad1d-4960-b4a9-b704a6aa9ea0,35
d765d21d-1675-46ad-a107-13461fc86157,28
d765d21d-1675-46ad-a107-13461fc86157,53
d765d21d-1675-46ad-a107-13461fc86157,878
51fecd44-437f-490e-9bcd-e3a386e95932,35
51fecd44-437f-490e-9bcd-e3a386e95932,80
51fecd44-437f-490e-9bcd-e3a386e95932,12
33569568-7c3e-4baa-84a8-cae15dca2350,35
540ef20e-292e-49ec-b2c4-584501eef931,35
6931e7d6-7d10-4454-8101-3a11734fbdfd,28
6931e7d6-7d10-4454-8101-3a11734fbdfd,12
6931e7d6-7d10-4454-8101-3a11734fbdfd,35
f851fa63-1c5d-473d-9405-375675a20771,12
f851fa63-1c5d-473d-9405-375675a20771,28
f851fa63-1c5d-473d-9405-375675a20771,53
f851fa63-1c5d-473d-9405-375675a20771,878
d9e484d0-3dcc-49b8-b4bb-c2babe11b19e,28
110d3753-c18e-45b8-9f4d-cf2736abe00a,28
110d3753-c18e-45b8-9f4d-cf2736abe00a,53
06480b5c-ced6-42bc-8bbc-9747023cf799,80
06480b5c-ced6-42bc-8bbc-9747023cf799,28
0e872cc4-c429-428c-8c71-a62fb4c24c96,28
0e872cc4-c429-428c-8c71-a62fb4c24c96,12
0e872cc4-c429-428c-8c71-a62fb4c24c96,18
0e872cc4-c429-428c-8c71-a62fb4c24c96,10752
fb855bea-eec0-4204-be37-7986abaf6887,28
96222ab6-29a3-4043-b5c2-a90a386c0d97,28
da9120a9-5384-4692-8032-b7297dcf0250,28
da9120a9-5384-4692-8032-b7297dcf0250,18
da9120a9-5384-4692-8032-b7297dcf0250,53
0bed1543-84ac-4c53-be68-43299ced4897,18
0bed1543-84ac-4c53-be68-43299ced4897,10752
a4bd9509-19e3-476d-848d-518ad20b742c,28
a4bd9509-19e3-476d-848d-518ad20b742c,12
a4bd9509-19e3-476d-848d-518ad20b742c,18
a4bd9509-19e3-476d-848d-518ad20b742c,10751
bda4765b-36ed-4693-b2af-e3d2ecec462b,28
bda4765b-36ed-4693-b2af-e3d2ecec462b,53
bda4765b-36ed-4693-b2af-e3d2ecec462b,12
4e7872c0-5351-471d-b26f-27a6f90fdfed,28
318660da-1c50-40f0-9f4c-2291ec6ee0c6,27
318660da-1c50-40f0-9f4c-2291ec6ee0c6,878
3d3ea7a8-8b5b-4392-81bb-d08dde330acc,28
3d3ea7a8-8b5b-4392-81bb-d08dde330acc,53
97d149d2-57d0-489c-93e7-6d8adcc0f9f9,28
4544a546-42da-4757-8499-041a20af38c9,80
4544a546-42da-4757-8499-041a20af38c9,28
b657e15a-9e33-4b6a-a39f-2f22d56e1a6f,28
b657e15a-9e33-4b6a-a39f-2f22d56e1a6f,10752
46b5ed45-a5bd-4f51-8f0a-54e647ebc7ce,27
46b5ed45-a5bd-4f51-8f0a-54e647ebc7ce,53
46b5ed45-a5bd-4f51-8f0a-54e647ebc7ce,878
46b5ed45-a5bd-4f51-8f0a-54e647ebc7ce,9648
2ed1d67e-a806-4e35-b625-ca2b029e366c,878
2ed1d67e-a806-4e35-b625-ca2b029e366c,35
2ed1d67e-a806-4e35-b625-ca2b029e366c,27
b5142384-c03e-4d50-93e0-75a438484955,28
428373c3-7ce0-44c2-b46b-3e5ed3c019b3,28
428373c3-7ce0-44c2-b46b-3e5ed3c019b3,12
428373c3-7ce0-44c2-b46b-3e5ed3c019b3,18
428373c3-7ce0-44c2-b46b-3e5ed3c019b3,53
